Time ns, Temperature
1583581266887792588, 78
1583581390436435006, 75.5
1583581559251937594, 72.4
1583581725016804646, 69.3
1583581946559957704, 66
1583582228075759697, 62.3
1583582441167595428, 59.9
1583582730494441585, 56.9
1583583095521898467, 53.7
1583583488887546387, 50.6
1583583730187709530, 49.1
1583584038938164021, 47
1583584181157437769, 46.2
1583584396522967841, 45.1
1583586466140522404, 36.7
1583586876951382007, 35.3
1583587117353751296, 34.7
1583587277939606934, 34.2
1583587763168286032, 33
1583588179628204506, 32.1
1583588334079133218, 31.9
1583588767092838435, 31
1583589021288863870, 30.6
1583589428953242620, 29.9
1583590239501326211, 28.6
1583590753343449042, 27.9
1583591143053687771, 27.4
1583591813551605127, 26.7
1583592123566943423, 26.3
1583592593877536773, 25.9
1583593241882124288, 25.3
1583594228948721332, 24.6
1583595211737144972, 24
1583595855956813286, 23.7
1583596390558878318, 23.5
